total_bill,tip,sex,smoker,day,time,size,price_per_person,Payer Name,CC Number,Payment ID,total_amt
16.99,1.01,Female,No,Sun,Dinner,2,8.49,Christy Cunningham,3560000000000000.0,Sun2959,18.0
10.34,1.66,Male,No,Sun,Dinner,3,3.45,Douglas Tucker,4480000000000000.0,Sun4608,12.0
21.01,3.5,Male,No,Sun,Dinner,3,7.0,Travis Walters,6010000000000000.0,Sun4458,24.51
23.68,3.31,Male,No,Sun,Dinner,2,11.84,Nathaniel Harris,4680000000000000.0,Sun5260,26.99
24.59,3.61,Female,No,Sun,Dinner,4,6.15,Tonya Carter,4830000000000000.0,Sun2251,28.2
25.29,4.71,Male,No,Sun,Dinner,4,6.32,Erik Smith,213000000000000.0,Sun9679,30.0
8.77,2.0,Male,No,Sun,Dinner,2,4.38,Kristopher Johnson,2220000000000000.0,Sun5985,10.77
26.88,3.12,Male,No,Sun,Dinner,4,6.72,Robert Buck,3510000000000000.0,Sun8157,30.0
15.04,1.96,Male,No,Sun,Dinner,2,7.52,Joseph Mcdonald,3520000000000000.0,Sun6820,17.0
14.78,3.23,Male,No,Sun,Dinner,2,7.39,Jerome Abbott,3530000000000000.0,Sun3775,18.009999999999998
10.27,1.71,Male,No,Sun,Dinner,2,5.14,William Riley,566000000000.0,Sun2546,11.98
35.26,5.0,Female,No,Sun,Dinner,4,8.82,Diane Macias,4580000000000000.0,Sun6686,40.26
15.42,1.57,Male,No,Sun,Dinner,2,7.71,Chad Harrington,577000000000.0,Sun1300,16.99
18.43,3.0,Male,No,Sun,Dinner,4,4.61,Joshua Jones,6010000000000000.0,Sun2971,21.43
14.83,3.02,Female,No,Sun,Dinner,2,7.42,Vanessa Jones,30000000000000.0,Sun3848,17.85
21.58,3.92,Male,No,Sun,Dinner,2,10.79,Matthew Reilly,180000000000000.0,Sun1878,25.5
10.33,1.67,Female,No,Sun,Dinner,3,3.44,Elizabeth Foster,4240000000000000.0,Sun9715,12.0
16.29,3.71,Male,No,Sun,Dinner,3,5.43,John Pittman,6520000000000000.0,Sun2998,20.0
16.97,3.5,Female,No,Sun,Dinner,3,5.66,Laura Martinez,30400000000000.0,Sun2789,20.47
20.65,3.35,Male,No,Sat,Dinner,3,6.88,Timothy Oneal,6570000000000000.0,Sat9213,24.0
17.92,4.08,Male,No,Sat,Dinner,2,8.96,Thomas Rice,4400000000000000.0,Sat1709,22.0
20.29,2.75,Female,No,Sat,Dinner,2,10.14,Natalie Gardner,5450000000000000.0,Sat9618,23.04
15.77,2.23,Female,No,Sat,Dinner,2,7.88,Ashley Shelton,3520000000000000.0,Sat9786,18.0
39.42,7.58,Male,No,Sat,Dinner,4,9.86,Lance Peterson,3540000000000000.0,Sat239,47.0
19.82,3.18,Male,No,Sat,Dinner,2,9.91,Christopher Ross,36700000000000.0,Sat6236,23.0
17.81,2.34,Male,No,Sat,Dinner,4,4.45,Robert Perkins,30500000000000.0,Sat907,20.15
13.37,2.0,Male,No,Sat,Dinner,2,6.68,Kyle Avery,6530000000000000.0,Sat6651,15.37
12.69,2.0,Male,No,Sat,Dinner,2,6.34,Patrick Barber,30200000000000.0,Sat394,14.69
21.7,4.3,Male,No,Sat,Dinner,2,10.85,David Collier,5530000000000000.0,Sat3697,26.0
19.65,3.0,Female,No,Sat,Dinner,2,9.82,Melinda Murphy,5490000000000000.0,Sat2467,22.65
9.55,1.45,Male,No,Sat,Dinner,2,4.78,Grant Hall,30200000000000.0,Sat4099,11.0
18.35,2.5,Male,No,Sat,Dinner,4,4.59,Danny Santiago,630000000000.0,Sat4947,20.85
15.06,3.0,Female,No,Sat,Dinner,2,7.53,Amanda Wilson,213000000000000.0,Sat1327,18.060000000000002
20.69,2.45,Female,No,Sat,Dinner,4,5.17,Amber Francis,378000000000000.0,Sat6649,23.14
17.78,3.27,Male,No,Sat,Dinner,2,8.89,Jacob Castillo,3550000000000000.0,Sat8124,21.05
24.06,3.6,Male,No,Sat,Dinner,3,8.02,Joseph Mullins,5520000000000000.0,Sat632,27.66
16.31,2.0,Male,No,Sat,Dinner,3,5.44,William Ford,3530000000000000.0,Sat9139,18.31
